filename, language, C#, XML, JSON, aspnetcorerazor, PowerShell, comment, blank, total
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Shared\_ValidationScriptsPartial.cshtml, aspnetcorerazor, 0, 0, 0, 14, 0, 0, 1, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\TestApi\TestapiController.cs, C#, 14, 0, 0, 0, 0, 0, 3, 17
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Video\VideoController.cs, C#, 21, 0, 0, 0, 0, 9, 3, 33
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\ViewMeetings\ViewMeetingController.cs, C#, 27, 0, 0, 0, 0, 1, 5, 33
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\_ViewImports.cshtml, aspnetcorerazor, 0, 0, 0, 6, 0, 14, 5, 25
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\_ViewStart.cshtml, aspnetcorerazor, 0, 0, 0, 3, 0, 19, 2, 24
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Program.cs, C#, 52, 0, 0, 0, 0, 11, 6, 69
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Properties\launchSettings.json, JSON, 0, 0, 27, 0, 0, 0, 0, 27
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\PsScripts\Build-ClientApp.ps1, PowerShell, 0, 0, 0, 0, 40, 16, 25, 81
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\PsScripts\Copy-ClientAssets.ps1, PowerShell, 0, 0, 0, 0, 98, 36, 44, 178
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\PsScripts\Publish-WebApp.ps1, PowerShell, 0, 0, 0, 0, 3, 0, 0, 3
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\PsScripts\Run-ClientApp.ps1, PowerShell, 0, 0, 0, 0, 2, 0, 0, 2
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\PsScripts\Run-PublishedWebApp.ps1, PowerShell, 0, 0, 0, 0, 3, 0, 0, 3
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\DbInitializer.cs, C#, 54, 0, 0, 0, 0, 40, 12, 106
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\EmailService.cs, C#, 179, 0, 0, 0, 0, 37, 26, 242
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\IEmailSender.cs, C#, 11, 0, 0, 0, 0, 0, 2, 13
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\ISmsSender.cs, C#, 11, 0, 0, 0, 0, 0, 2, 13
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\MessageServices.cs, C#, 93, 0, 0, 0, 0, 44, 13, 150
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\RedirectConsole.cs, C#, 44, 0, 0, 0, 0, 0, 6, 50
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\StatusRequirement.cs, C#, 8, 0, 0, 0, 0, 27, 6, 41
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Services\ValidateReCaptchaAttribute.cs, C#, 82, 0, 0, 0, 0, 1, 1, 84
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Startup.cs, C#, 159, 0, 0, 0, 0, 61, 46, 266
